,Question,Actual_Answer,Mod_Response_1,Mod_Response_2,Mod_Response_3,Mod_Response_4,Mod_Response_5
23,do both arms drop with this commode if need be or just one ?,both drop .,Both arms drop.,Yes they both drop.,Yes both arms drop.,Yes they can be opened.,Both drop.
24,does it come wih both the lcd digitial digitizer and the lcd touchscreen glass ?,yes it does,Yes it does,Yes mine did.,Yes it did,,
25,will my sims card from my att go phone work ? i want my same phone number,yes it will work .,Yes it will work.,No it does not work.,No it will not work,Yes it will,Yes it will...
26,do these wipes contain benzethonium chloride ? if so what is the concentration ?,yes 03,,Yes.,Yes it is,Yes 03,
27,is this a pair of braces or only one brace ?,one brace .,Only one,One brace only,Just one.,It is only one brace.,Its only one brace.
28,is this a gel tablet or that hard one that we can cut in half ?,the hard one .,It is a hard plastic.,It is a single piece.,It is a white one.,It is a pair.,It is a small one.
29,does the case fit the iphone 5s,yes it does,Yes it does.,Yes it fits mine perfectly!,Yes! fits perfectly!,Yes!,Yes perfect fit.
30,i just bought an lg optimus l70 . will this case fit this phone ?,did not work to big .,Do not know,Do not know. sorry,Sorry i do not know,Dont think so,Did not work at all
31,what is the length of the wire connector,5 ft,5 feet,5 ft,6 ft,About 4 feet,
32,is gear device a really useful thing ? if so how ?,does it have an alarm ?,Does it have an alarm?,Does it have a microphone.,Does it have to turn blue,Does it does have rainforest,Does it have an ipad.
33,does nfc work with this ?,very quick delivery,Yes it does,No it does not,Yes.,,
34,this looks like a knock off of the pain relieving medicated plaster . the wording has been changed and no registration mark . is it the same ?,yes did work well .,Yes did work well.,Yes did work fine.,Yes it does!!,Yes! frustrating..,Yes!!!
35,how high are these socks are they mid shin height or knee high ?,knee high,Knee high,They are knee high.,,,
36,i would like to ask about the nighthawk neckline cuffs in color is red or orange ? may be due to the color deviation i will not be able to determine,kinda red,I think it is red,Hi the color is orange.,Kinda red,I believe it is red,
37,what is the nordic naturals omega 3 pet 180 soft gels expiration date ?,january 2017,My bottle says march 2016,The expiration date is feb 2016,The expiration date is 12 2016,My bottle says may 2016,The expiration date is february 2016
38,can i charge my nexus 4 with the case on ?,some cases yes .,No you ca not.,No you can not.,Yes you can,I do not know.,I never tried
39,how far does it measure out . for instance does it go to 0 . 012 ? 3 digits to right of decimal ?,nope just 0 . 01,Same as well.,About 3. 5 inches,Not at all,Same as a shirt button.,Just 1. 5 inches
40,what is exact size of this bottle ?,15 ml,It is a 15ml bottle,12 inch,It is,236 ml,3 ml
41,how much bezel protection does it have ? the cases spigen seidio made have little to none . based on pictures the otterbox commuter has some .,it has plenty,It has none,It does not matter,It does not work at all,It has plenty,It is very light
42,how do we stop the screeching and freeze of the machine ?,who knows ! ! !,Who knows!!!,Does this decrease cellulite?,On it.,Who knows!!,Who knows!!!!
43,does this have the screen shield ?,no screen shield,No it does not,No screen shield,No mine does not,,
44,what is the expiration date on current stock ?,august 2016,06 2015,07 2016,06 2016,03 2015,January 2015
45,does it have vitamin k . . i ca not have any k in it .,yes there is,Yes it contains vitamin k.,Yes there is.,Yes it does.,Yes it has vitamin k.,Yes there is no vitamin k
46,hi is the mirrored part of this jewelry box regular mirrors that you can see clearly in or are they antique style with a cloudy spotted appearance ?,regular mirrors,They are regular mirrors.,Regular mirrors,They are standard cases.,These are regular mirrors.,They are a white cases.
47,i am 6 4 290 23 bf . i want a tight fit but i also want it to be long . should i get the xxl or xxxl ? thanks !,5 11 220lbs 23bmiwhat size ?,5 11 220lbs 23bmiwhat size?,3x for sure.,11 11 220lbs 23bmiwhat size?,5 9 220lbs 23bmiwhat size?,6 11 220lbs 23bmiwhat size?
48,today is may 4 2015 . what is the expiration date of these patches ?,july 2016,July 2015,03 2015,July 2016,,
49,will an iphone 5s with an incipio case fit in this holder ?,do not know sorry,I do not know.,I dont think so.,Yes it will.,Yes.,Yes it does.
50,what is the size length width and what is the screen size ?,2 x 2,5 x 3,6 x 3,5 x 9,2 x 3,About 7 x 3
51,does it hold a soccer ball ?,it certainly does,It certainly does,It did,It certainly did,It does,It certainly do
52,what are the dimensions of the hole itself ? that is what i need to know if it will fit right .,10 x . 13 1 2,It is 12 x 15,It is 12 x 24,It is approximately wide,It is 17 inches wide,It is 12 x 12
53,what is the expiration date ?,04 2016,03 31 2015,September 2015,07 2016,07 2015,June 2015
54,what is the difference in sizes where some say one size and others say os ? are they the same ?,they are all the same,They are all the same size,They are all the same,They are all the size,Mine were all the size,They are the same size.
55,will this case fit the kindle previous generation ? will the power port match up ?,no it will not fit .,No it will not fit.,I do not know,I am not sure,I dont think so,I do not think so.
56,i recently buy lipo 6 black to you the pills color are black and red its that ok ?,yes ! that is ok .,Yes!,Yes you can.,Yes u can,,
57,how high or low should the belt be worn in relation to the belly button ?,low is best,Low is best,,,,
58,this is for both 2 feet or just for 1 foot ?,one foot one brace,One for each foot.,One foot for each foot.,Just one for each foot.,Either foot.,One foot
59,so does it work with samsung phone t139 or not ?,yes it does .,Yes it does.,,,,
60,is that work with t . moble,yes it does work with tmobile,Yes it does work.,I do not know. sorry,Yes it does.,I do not know,Yes very good phone
61,does both sim slots support 3g network ? is it dsfa or dsds dual sim technology ?,support 3g,Only 3g,Es 3g,Only at t,You can use 3g.,This phone has a micro sim
62,is it 2inches high answer soon i need to order it if it is 2inches high,the seat is 5 inches high,The seat is 5 inches wide,The seat is 5 inches high,The seat is 5 inches long,The seat is 4 inches wide,Seat height is not adjustable.
63,does it read in celsius ?,yes both c and f,Yes it does.,Yes both c and f,Yes both celsius and counts,Yes everything is included.,Yes mine did.
64,are these shirts loose or fitted ? thank you .,item fits fitted,Item fits fitted,Loose but not baggey,Item fits well,Loose but fits fitted,
65,is it a gel or liquid inside the capsules ? vet has recommended for my cat and i will need to break it down somehow . thanks for any insight,the capsules contain a powder .,It is powder not.,It is a powder.,It is powder inside.,This is a powder.,It is powder.
66,is this hydration bladdar ready ?,no . it is not .,No. it is not.,No it is not.,No not really,No. it is cheap.,Not to my knowledge
67,what are the other ingredients listed . thanks !,gelatin vegetable glycerin,Ammonium nitrate,Who cares?,Ichthammol anhydrous lanolin amber petrolatum,Lidocaine 5 prilocaine 5 benzocaine 3,Gelatin vegetable glycerin
68,can it pair 2 devices,up to 5,No only 2.,Do not think so,I do not think so,I do not know.,Do not know
69,this clipper not charging ? ? ?,it isn,No corded,No 110,No adaptor,And,No. 110 only
70,does this really fit 5c because i order mine from amazon and they always turn out to be for 5s when it said for 5c . . . so are you sure its for 5c ?,yes it does,Yes it fits perfectly,Yes it does.,Yes!,No it does not,
71,what size screen does this phone have ? i couldnt find it in the description .,4 . 7,4. 0,3. 7,It is 4. 0,4. 2,3 4
72,deos this comes with a hose ? thank you .,yes . and many attachments .,Yes. it can.,Yes.,Yes it can.,Yes. it can..,
73,how long does this amount last if taken as directed ?,three to five weeks,Three to five weeks,About an hour,3 days,Three to five days,About a week
74,is this the full size pillow ? 24x16 ?,yes it is,Yes it is,Yes it is 13,,,
75,does the h 710 come with a charger ? does the h710 bluetooth come with a charger or is it sold separately ?,i have the same question,It comes with the phone,You have to buy it,It is included.,You have to buy one,You can use it.
76,for the other colors will it fit the clip ?,it will,Yes it is,I do not know,Sorry i do not know,Yes it will,Do not know
77,do these glasses have the half tinted lens which shows in description or all gray when i add to cart ?,they are fully tinted,They are fully tinted,Mine were fully tinted,Mine are fully tinted,They were fully tinted,They are totally tinted
78,do yousell the replacement shake,no i do not,No it does not matter,No i do not,No it does not,No it do not,No sorry
79,how big are the tablets ?,small .,Small...,Very small pill,Very small!,They are average size capsules.,They are average size pill.
80,is this phone internacional version factory unlocked ? what is included in the box ? which are 3g and lte bands ?,yes it is . good phone,Yes it is fully unlocked.,Yes it is unlocked phone,Yes it is unlocked,It is unlocked,It is an international version.
81,what type of fabric is it ?,light cotton !,Steel.,It is a hard plastic,Light cotton,They are water proof.,Cotton.
82,is it accurate measuring between 5 and 10 pounds for cats ?,only for people,Yup!,Absolutely!,I think so.,I would think so.,I am not sure!
83,can you still plug in the charge cable without removing it from the case,yes you can small pin connector,Yes you can.,Yes u can.,Yes.,,
84,will the l xl fit a 17 . 5 arm circumference or should i go with the xxl ?,better go with xxl,Go with large cuff,Stay with x large,Go to size,Check with large cuff,Go with large
85,can i use this phone in latin almerica peru with a sim card ?,yes you can . i,Si funciona perfectamente,Si funciona sin problemas.,Si funciona muy bien,Yes you can...,Yes you can.
86,has the exact level of chemicals like lead silica in the product per california proposition 65 been tested by an outside reputable lab ?,dont know,Dont know,,,,
87,do this replacement blade come as a set or is it just one i need both the small and larger blade,it comes with both,It was just one piece.,It is just one piece.,Just one.,It was only one piece.,It is only one piece.
88,is thisphone unlocked,yes its unlocked,Yes it is unlocked,Yes it was unlocked,Yes very good,Yes sure is unlocked,Yes its unlocked
89,will it slide under the case since it does not have adhesive ?,not in my case .,No it does not,It does not.,Not in my case.,Not to my knowledge.,Not at all.
90,what point does this pen have medium or fine ?,it is medium point,It is medium point,It is medium,More above.,More above the knee,There is the size chart
91,100 cotton ?,60 cotton 40 polyester .,60 cotton 40 polyester,Its 60 40 cotton poly,60 40 cotton poly,60 cotton 60 polyester,60 cotton?
92,is it compatible with sim cards,yes . normal sim cards,Yes it is,Yes it is compatible,Yes is ti compatible,,
93,i want to buy 30 which is the expiration date ?,exp on 1 october 2015,12 2016,September 2015,September 2014,11 2016,
94,good afternoon . this device is unlocked ?,yes is unlocked,Yes it is unlocked,Yes is unlocked,Yes sir,Yes it is.,Yes it was unlocked
95,my phone is samsung s5 dual sim cards my model it is say sm g900fd so does this product support it ?,i think it would,Yes it is,I do not know,Yes it is compatible,It should be,I think so
96,what is the current expiration date ?,6 2015,Feb. 2015,September 2015,Feb. 2016,November 2015,
97,is there a headphone jack ?,no headphone jack .,No there is not.,No headphone jack.,Yes there is.,Do not think so.,Not that i can see.
98,what is the exp date ?,02 2016,Feb. 2015,06 2016,Feb. 2016,12 2016,07 2016
99,is this compatible with a samsung galaxy sii epic model sph d710,no . . does not compatible,No.,Yes.,Yes it does.,,
100,hi i lost the instructions can any tell where the red label goes,up top by your bicep .,Up top by your bicep.,Up top and twist.,Up top by the bottom.,Up top on your bicep.,Up top and green.
101,is this case waterproof ?,no it is not waterproof .,No it is not waterproof,No it is not.,No it is not water proof,No.,No its not waterproof.
102,is it compatible with iphone 5 ?,do not know . sorry .,Yes it is.,Yes it is compatible.,Yes it is!!!,No it is not.,Yes it is!!
103,what comes in the package ? specifically is there a carrying case to protect them when they are in the gym bag ?,they come with this,They come with this,They come with it,Mine came already,Mine came with it,They come with
104,how long is the cable,looong ! about 10ft .,3 feet,Inches,4 feet,It is 4 feet long.,About 3 feet
105,how many pills are in the bottle ?,30 pills,100 pills,30 capsules,30 pills,30 pills per bottle,There are 30 capsules.
106,i receieved my case it came with the borders . somehow the packaging got thrown away along with the borders . is it possible to reorder borders ?,im not sure .,I do not know.,I have no idea.,I do not know. sorry,Im not sure. sorry,Im not sure.
107,what is the button on top for ?,on and off,On and off,Inside and,I have no idea,Inside and off,I never received it.
108,hello . i was wondering if this phone is unlocked ? i want to use this phone outside the usa in asia .,is unlocked,Yes it is unlocked,It is unlocked.,Yes it is,Yes it was unlocked,It is unlocked phone
109,will this extender fit a motorola droid razr m ?,it should,No it will not fit.,Yes it will,No it will not,Yes it is.,Yes.
110,does it work with ios 8 ?,it does .,Yes it does,No it does not,It does.,It works just fine.,Works for me.
111,does this stuff clear our marajuana from your body also ?,have no idea sorry .,Do not have a clue!,Do not know,Do not buy it.,Have no idea sorry.,Do not understand the question
112,so it does not leave too much of a sticky residue like a normal sticker would ?,not really,No it does not.,No it wo not.,No it will not.,No it ca not.,Yes it does
113,do it use batteries or what ? the description does not say,it uses d batteries,D,Mah,,Yes 2,Yes 5
114,are these ultrafire brand batteries ? the name is strangely slickly hidden in all photos .,yes they are ultrafire batts .,Yes they are ultrafire batts.,Yes they are,Yes it is,Yes they are ultrafire,
115,can the belt clip be rotated so phone can hang horizontal or vertical ?,yes it rotates 360 deg,Yes it rotates 360 degrees,Yes it rotates 360,Yes it rotates 360 dollars,No it cannot.,No it can not.
116,does this brace gather up and pinch in the back of the knee . thanks .,ihave had no problem,Ihave had no problem,Ihave had no issues.,It does not matter.,Ihave had no problems.,It has none.
117,what does it contain,gaba 5 htp melatonin,Gaba 5 htp melatonin,Gaba 5 htp gaba,Melatonin 5 htp gaba,Melatonin 5 htp melatonin,Gaba 5 htp
118,can you use your phone in the vertical position with this mount ?,yes absolutely !,Yes you can.,Yes it can.,Yes.,,
119,how do i choose a size,i need medium size .,I need extra large.,I need medium size.,I would go with large,I would suggest a medium.,I do not remember.
120,what is the waranty with this phone .,i am not sure sorryv,I am not sure.,I do not know,I have no idea.,Do not know,I have no clue.
121,is this 110v us only or 110 220v ? in other words do i need a voltage transformer when using this in europe ?,yes .,Yes.,Yes...,,,
122,would it work for tennis elbow ? i have it on both arms and its very painful 24 7,it should,Absolutely.,Yes it will,It should,No.,
123,what size sim card does this require ? standard micro or nano ?,standardhope this helps,It uses a micro sim card,Standard sim,It uses a micro sd card,Micro sim card,Micro sim
124,can this shaver be used in the shower,no sir,No.,No it can not.,No it ca not.,No...,Nope.
125,what are the dimensions of this item ?,19 x13 x14 fully loaded,19 x13 x14 fully loaded,9 x 15,Approx. 5 inch,Approx. 5 x 4,Approx. 5 x6
126,can i use oster blades 76,yea all detachable blade work,Yes you can,Yes u can,,,
127,is it as stiff as the original one ?,yes it is exactly the same,Yes it is,Yes it is the same,Yes it is the real thing,,
128,can this be used with iphone 5 c and does it just plug into car lighter,yes it is great love it,Yes and yes.,Yes.,Yes to both.,Yes of course,Yes it can
129,will the magnet closure be a problem with the magnet strips on credit cards ?,not a problem at all,Not at all,Not a problem at all,I have no idea,It comes with a charger.,Not a problem
130,i am a size 40inch waist and 31 inseam which size should i order ?,waist 40 inseam 30,Waist 40 inseam 30,Waist 60 40 inseam 30,40 inseam,Waist 60 inseam 30,Waist pills 40 inseam 30
131,which country was this item made from,it developped by finland .,It is manufacturing in usa,It is manufacturing in,It is manufacturing.,I do not know,Sorry i do not know.
132,hello my friend i am from venezuela and i want to know if i can use this cellphone in my country thanks,si me llego,Yes you can.,Yes.,Yes u can,Si funciona perfectamente,
133,does this shirt have thumb holes on the sleeves ? that is a prerequisite for any of my wife is long sleeve running shirts !,no it does not .,No it does not.,It does not...,Yes it does.,It does not....,No. it does not.
134,are all of the colors treated with aegis microbe shield to eliminate odor causing bacteria in fabric when i select some colors the features change ?,that is my understanding,That is correct.,That is my understanding,That is the same,That is what i have,That is your question
135,is it compatible with ipod 5 ?,yes .,Yes it is.,Yes it is compatible.,Yes it does.,Yes.,
136,can these be used as a meal replacement ?,i use them for breakfast .,I do not know.,I do not think so.,I am not sure.,I have no idea.,I do not believe so.
137,does this work for a google nexus 5 ?,yes .,Yes it does.,Yes.,,,
138,are these cups bpa free ?,i really do not know,Yes they are.,No they are not.,I have no idea.,Yes.,No they are gluten free
139,can you buy a charger for this hearing aid,no it just takes batteries .,No you ca not.,No.,No you cant.,No it is a scam,No you can.
140,does this product contain piperin or the pepper extract needed for absorption ?,piperin extract needed for absorption,Piperin extract needed for absorption,Piperin leaf extract,Piperin extract needed for me.,Piperin sugar required.,Piperin extract needed on this
141,selling only the frame ?,yes . only the frame,Only the back panel only,Only the back on both sides,Its only on the back,Only the back,Only black
142,how wide is the head ?,4 . 5cm,About 1 inch,1 1 2 inches,About 4 inches,Approximately 1 inch,About 3 inches
143,this says it is for one does that mean only one crow or one box of crows . . . ?,1 crow .,1 crow.,One per package,,,
144,will this work for an android avail 2,yes it will,Yes it will,Yes it should,Yes it does,Yes it would,
145,will this fit my iphone 4 for verizon ?,yes . .,It will fit,Yes it will,Yes it will fit,It should,Yes i think it will.
146,is this safe for he machines ?,yes very !,Yes very much.,Yes very accurate.,Yes!,Yes sir,Yes very well.
147,is this a basic phone ? i do not want a smart phone plan,yes its just a basic phone,Yes it is.,No it is not.,Yes is a basic phone.,No its a cheap phone.,
148,seems kinda cheap for the 6 . 8 ounce bottle . is this genuine or a knock off ?,it is the real thing .,It is the real thing.,This is the real thing.,Its the real thing.,It is the real deal.,It is real
149,does this case fit any moto g model ? i have a moto g xt1028 model and was wondering if this would fit,it fit mine,It fit mine,Yes it fit mine,It fits mine,Yes it fits,It fits the 5s
150,does this phone use a sim,yes . . .,Yes it does,No it does not,,,
151,are these made by philips norelco ?,worthless get lost,Yes very good,Yes!,Yes very well,Of course,Yes sir
152,i wear a 6 6 . 5 shoe . i bought the small and had to cut them . now my shoes feel too tight with these in . has anyone else had this problem ?,buy the three quarter insole .,Mine was fine.,Mine was perfect.,Buy is tight,Buy your size 9.,You need a baseball cap.
153,polar ice plastic straight wall shooter glasses is what i order however when it transfers to my cart the shape is totally different . which one ?,i received what was pictured .,I have no idea!,I received this item.,I agree with.,I have no idea of.,I have no idea sorry.
154,is this phone 4g ? can i use this phone on h2o wireless ?,no its not,No it is not.,No its not,Yes it is,No it is not unlocked.,Si es muy bueno
155,does this cable work with a lifeproof case ?,no not at all,No it does not.,No.,Yes it does,I am not sure,I do not know
156,is it compatible with note 2 ?,yes compatible with note 2,Yes it is.,Yes it is compatible,No it is not,I do not think so.,
157,i am trying to see where this indicates that this product is cgmp certified ? fda approved,it is not fda approved,It is not fda approved,What is the question?,Do not know,I do not know.,What is dent rid?
158,is the tip rubber or fabric ?,it is like rubber foam,It is rubber,It is plastic,It is a hard plastic.,Its rubber,It is hard plastic.
159,are these beeswax pastilles white as depicted on the product page or are they actually a dark yellow color ?,they are white,Yes they are white,They are white,Yes they were white,Yes they are clear,No they are white
160,does one need to order two insoles or do they come in pairs ?,they come in pairs .,They come as a pair,They come in pairs,Comes as a pair,They come in a pair,Mine came as a pair
161,how long does it normally take them to fully charge ?,whatever it takes,About an hour,About 2 hours,About a week,24 hours,Maybe an hour
162,can the belt clip be removed ?,yes it can be removed .,Yes it can be removed.,No it can not.,Yes it can,No it cannot be removed,Yes yes it can be removed
163,is it corded or rechargeable ?,it is not rechargeable,It is corded.,Corded.,It is not rechargeable,It s corded,It is rechargeable.
164,does this case fit an iphone 5s,yes it does .,Yes it does.,Yes it fits mine perfectly!,Yes it fits great!,Yes!,Yes perfect fit.
165,what is the difference between these and pedag 121 for all heels ? which ones do you recommend for leather boots with 3 heels ?,for me it does not matter,I have no idea.,No i have no idea.,No difference whatsoever.,No difference. not at all,No difference at all.
166,this says buy 1 get 1 free is this false as i see in the reviews ? there should be a total of 16 bumpers right ?,i only received 8 .,I only received 8.,I only recived 8.,I received 5. 5,I only received this item.,I believe it is.
167,which is better ? these or the t edjer ii for hairline and goatee line ups ?,the blade is very bad .,.,...,Good.,... ebay,
168,is this case any thinner than the otter box ? really hate how much that bulks up the 4c phone but need the protection .,yes i think so,Yes it is thinner,Yes i think so,Yes i believe so,Yes this is the real thing,Yes to both questions
169,is this a standard size sim ?,yes it is standard,Yes it,Yes it is a standard,Yes it is a regular,Yes it uses a regular,Yes it takes a standard
170,will this work on t mobile 4g lte network ?,not no,Yes it will work.,I do not know,Yes it will,Yes.,No not at t
171,what is the weight capacity on this hurricane,300 plus lbs,300 lbs,250 lbs,At least 300lbs,300 pounds,260 lb
172,what is the quantity in a single 23 . 75 bottle ?,there are 60 pills .,60 capsules.,60 softgels,60 capsules per bottle.,60 pills.,
173,does the lifeproof work with the invisishield ? it seems thin enough that the lifeproof would still seal well against it .,yes works perfectly,Yes works perfectly,Yes works fine,Yes works good,Yes works perfect,Yes works very well
174,is this after shave packaged in a glass bottle ?,yes glass,Yes it is glass.,Yes it is.,Yes it is solid.,Yes it is plastic.,Yes it is a glass bottle
175,is it apple certified ?,no it is not,No it is not waterproof,No it is not.,No it is not water proof,No it is not a knock off,No. it is not.
176,has anyone compared this product to skin cap which is expensive and hard to get but so good ! ?,very nice product,Easy to me,It works great!,.,It is fine,Easy to assemble
177,what is the width of the walker in its use configuration . alternatively what is the narrowest doorway through which it can pass ?,26 inches,26 inches,24 inches,19.,30 inches,
178,the pen is to touch the screen ?,yes it is,Yes it is,No it is not,Yes to both.,Yes there is,Yes that is correct
179,how old are they ?,mine expire on 06 2018,About mid calf,About 1 inch tall,About an inch tall,About mid to floor,
180,is this added to distilled water for cigar humidification ?,yup !,I do not know!,I am not sure.,What is the question?,What is your question?,Yup!
181,is the frankincense oil in a glass bottle ?,can you take this orally ?,Yes it is,Yes i think so,Yes i think it is.,Yes i believe so,Yes this is
182,what is the expiration date of the product ?,04 15,03 17,03 2015,06 2015,07 2015,July 2015
183,can you sleep on it ?,yes absoultely !,I do not know. sorry,Absolutely!,Yes it should be fine.,I do not know.,Yes.
184,the spring on mine broke and i ca not use it . is there any kind of warranty ?,honestly i do not know .,Honestly i do not know.,Sorry i do not know.,Honestly do not know.,Thank you!,Honestly i am not sure.
185,is the protector screen non glare ?,no it is a glossy finish,No it is a glossy finish,It is not anti glare,No it is a sticker,No it is not,No it is a knock off
186,what is the stuff that settles to the bottom of the glass ?,silver particles,Silver particles,,,,
187,is this unflavored or does it have a mint taste ?,unflavored .,No flavor,It is unflavored,Unflavored.,Mine was unflavored,None whatsoever
188,will this micro sim card work with the lg tribute ls660 ?,yes no problem .,Yes of course.,Yes no problem.,Yes no problem for sure.,Yes it will.,No.
189,does it work on a galaxy s 3,no .,Yes it does.,No.,No it does not.,Yes.,
190,how much evening primrose oil ? i see it is 800 mg in dr but the bottle show it is 500 mg . please how much it is ?,it is 800 mg,It is 800 mg,It is phosphate,It is,Concentrate,It is concentrate
191,where are these batteries made ?,in the united states,Made in nicaragua by,Made in the usa,They are made in china.,Made in china.,They are made in usa
192,how long is the cord ?,oops i meant 2 feet long,3 feet,About 3ft,A little over 6 feet long,6 feet,About 3 feet
193,does this product have a magnet closure or velco ?,yes it do,It has a magnetic closure.,It has a magnet closure,Magnetic closure,It is magnetic,It is a magnetic closure.
194,does the lid have a filter sieve to avoid chunks ? please answer very soon,there is none .,There is none.,There is no flavor.,There is none on.,There are none.,There is no difference.
195,can you roll it over a toilet ?,i do not believe so .,No you ca not.,Yes you can.,No you can not.,Yes u can.,No not at all.
196,will this product also work with galaxy s iii ? ?,looks like it should,Yes it will,Yes it does,Yes it would,I do not know,
197,does this include a charging cord or is it just the base ?,it is just the base,It is just base,It is just the base.,Base only,It is only.,Just the base
198,is it with lcd ?,no friend,No contract,No contract phone and,No there is not.,No sir,There is no
199,is the bottle and dropper made of plastic or glass ?,bottle glass dropper hard plastic,It is plastic,The bottle is plastic.,It is a plastic bottle.,The bottle is glass,It is a glass bottle
200,how many mega pixels will this make my note 3 ?,i dont know,I have no idea,I do not know!,I love it,,
201,how many calories per bar,about 200 calories per bar,200 calories per bar.,190 calories,190 calories calories per bar.,30 calories per bar.,200 calories
202,is this one pair of socks or a pack of two or three ?,just one pair .,One pair of socks each one,Just one pair.,One pair of socks each pair,One pair is a pair.,
203,what is the voltage and amp output ? 5v and1 . 2amp ? or . 7amp ?,. 7 amp,Thanks!!,I have no idea!,!!!,!!!!,!!!!!
204,so the total count will be 80 ?,yes .,Yes.,Yep!,,,
205,will this case fit over the otterbox case ?,yes it does .,No it will not.,No it wo not,No it will not fit.,I do not think so.,Yes it will fit.
206,does this come with straps to secure the cushion ?,no .,No it does not.,No.,Straps are extra,It does not.,
207,will this work with a galaxy note 3 ?,sorry i do not know,No it will not.,No it wo not.,Yes it does.,No it does not.,Yes it will work
208,does it open ?,yes just like in the movie,Yes it does.,Yes it does prevent,Yes it does quite considerably,Yes it does prevent odor,Yes it does come off
209,i am confused . . . does this contain magnesium citrate or malate ? there are contradicting photos .,my bottle says magnesium malate .,My bottle says magnesium malate.,The bottle says magnesium malate.,The bottle states magnesium malate.,The bottle does not say gelatin,The box says magnesium malate.
210,does this fit iphone 5s,yes it is designed for 5s,Yes it does.,Yes it fits iphone 5s,Yes.,Yes it fits mine perfectly!,
211,does the bottle have markings on the side indicating different amounts of liquid eg . 10oz 15oz 20 oz etc . ? please answer quickly,yes it does .,Yes it does.,,,,
212,what is the expiration date,07 2016,03 31 2015,03 17,September 2015,03 31 2016,07 2016
213,what are the differences between the t959 and the t959v ?,they do the same thing .,They do the same thing.,Is the same thing?,They are the same thing.,They work great,The case is the case inside
214,does it produce good quality sound ? not just loud good quality ?,really nice,It works beautiful i love it,It works great!!!,It works great!!,Very good!!!,It works fine!!!
215,does clear case come with bumper as well ? i could not tell from the picture .,yes it does .,Yes it does.,,,,
216,does the platter need to be baked to set the ink ? if not how durable is the ink after multiple washes ?,yes pretty durable,Yes very durable,Yes pretty durable,Yes great product!,Yes,Yes great machine
217,do these calcium gummies have any kind of fish fish oil in them ?,no there is none listed .,No fish oil.,No there is none listed.,No there is no vitamin k.,No there is no calcium.,No there is no vitamin
218,size guide ? ?,size four,Size four,Size 1,Size small,Size 4,
